A¤o;Entidad;Distrito;Puesto;PAN;PRI;PRD;VERDE;PT;MOV. CIU.;NUEVA ALIANZA;MORENA;HUMANISTA;ENC. SOC;INDEP.;ALTERNATIVA;No registrados;Votos nulos;;;Total Votos
2012;Nuevo Leon;APODACA;Presidente;100;200;39447;-;-;-;65219;-;-;-;-;-;426;2507;;;178402
2012;Nuevo Leon;GRAL. ESCOBEDO;Presidente;76284;55973;43451;-;-;-;5548;-;-;-;-;-;450;2957;;;184663
2012;Nuevo Leon;SAN NICOLAS DE LOS GARZA;Presidente;77010;38981;36674;-;-;-;4822;-;-;-;-;-;62;2548;;;160097
2012;Nuevo Leon;MONTERREY 1;Presidente;35507;48737;29046;-;-;-;2964;-;-;-;-;-;96;3022;;;119372
2012;Nuevo Leon;MONTERREY 2;Presidente;69996;39689;32704;-;-;-;3508;-;-;-;-;-;91;2193;;;148181
2012;Nuevo Leon;MONTERREY 3;Presidente;49741;40649;29715;-;-;-;3028;-;-;-;-;-;48;2200;;;125381
2012;Nuevo Leon;GUADALUPE 1;Presidente;63717;47345;37141;-;-;-;4994;-;-;-;-;-;72;2536;;;155805
2012;Nuevo Leon;LINARES;Presidente;52463;81634;28871;-;-;-;11181;-;-;-;-;-;56;5742;;;179947
2012;Nuevo Leon;MONTERREY 4;Presidente;66269;36112;30763;-;-;-;2596;-;-;-;-;-;77;2146;;;137963
2012;Nuevo Leon;GUADALUPE 2;Presidente;57705;48061;36493;-;-;-;4952;-;-;-;-;-;78;2950;;;150239
2012;Nuevo Leon;CADEREYTA JIMENEZ;Presidente;88571;106053;56166;-;-;-;6757;-;-;-;-;-;93;5355;;;262995
2012;Sonora;SAN LUIS RIO COLORADO;Presidente;51784;62118;24764;-;-;-;2201;-;-;-;-;-;42;3049;;;143958
2012;Sonora;NOGALES;Presidente;44982;68002;27636;-;-;-;2412;-;-;-;-;-;92;3475;;;146599
2012;Sonora;HERMOSILLO 1;Presidente;52621;49607;31605;-;-;-;2860;-;-;-;-;-;63;2529;;;139285
2012;Sonora;GUAYMAS;Presidente;40840;54737;43534;-;-;-;2107;-;-;-;-;-;78;5423;;;146719
2012;Sonora;HERMOSILLO 2;Presidente;53899;49336;30200;-;-;-;2274;-;-;-;-;-;319;2712;;;138740
2012;Sonora;CAJEME;Presidente;34541;70747;55511;-;-;-;2118;-;-;-;-;-;111;4654;;;167682
2012;Sonora;NAVOJOA;Presidente;49076;58486;41502;-;-;-;1473;-;-;-;-;-;36;4330;;;154903
2012;Chihuahua;JUAREZ 1;Presidente;30324;74139;49942;-;-;-;6549;-;-;-;-;-;291;3409;;;164654
2012;Chihuahua;JUAREZ 2;Presidente;17460;39965;23010;-;-;-;3086;-;-;-;-;-;74;2936;;;86531
2012;Chihuahua;JUAREZ 3;Presidente;36565;46409;41736;-;-;-;5309;-;-;-;-;-;130;2486;;;132635
2012;Chihuahua;JUAREZ 4;Presidente;18804;39929;28547;-;-;-;3988;-;-;-;-;-;83;2639;;;93990
2012;Chihuahua;DELICIAS;Presidente;46155;82963;30311;-;-;-;5556;-;-;-;-;-;410;3311;;;168706
2012;Chihuahua;CHIHUAHUA 1;Presidente;61050;70482;33623;-;-;-;6470;-;-;-;-;-;117;3683;;;175425
2012;Chihuahua;CUAUHTEMOC;Presidente;27897;72432;33484;-;-;-;4210;-;-;-;-;-;82;3578;;;141683
2012;Chihuahua;CHIHUAHUA 2;Presidente;46497;76151;34053;-;-;-;7569;-;-;-;-;-;455;4194;;;168919
2012;Chihuahua;HIDALGO DEL PARRAL;Presidente;24647;64235;10470;-;-;-;3106;-;-;-;-;-;144;4189;;;106791
2012;Nuevo Leon;SANTA CATARINA;Senador;78532;49641;20788;4078;-;-;6157;-;-;-;-;-;124;8421;;;167741
2012;Nuevo Leon;APODACA;Senador;53009;78303;22492;5306;-;-;8300;-;-;-;-;-;545;9540;;;177495
2012;Nuevo Leon;GRAL. ESCOBEDO;Senador;69430;65924;25788;4150;-;-;7223;-;-;-;-;-;216;9923;;;182654
2012;Nuevo Leon;SAN NICOLAS DE LOS GARZA;Senador;77105;41541;21569;3698;-;-;7069;-;-;-;-;-;93;7349;;;158424
2012;Nuevo Leon;MONTERREY 1;Senador;30677;54699;19604;3130;-;-;3806;-;-;-;-;-;450;8457;;;120823
2012;Nuevo Leon;MONTERREY 2;Senador;64311;44126;20253;2932;-;-;5333;-;-;-;-;-;168;7840;;;144963
2012;Nuevo Leon;MONTERREY 3;Senador;46191;44178;19447;2489;-;-;5167;-;-;-;-;-;137;7008;;;124617
2012;Nuevo Leon;GUADALUPE 1;Senador;58039;56699;20631;3509;-;-;7340;-;-;-;-;-;152;8048;;;154418
2012;Nuevo Leon;LINARES;Senador;44196;78990;18429;2602;-;-;20322;-;-;-;-;-;91;13362;;;177992
2012;Nuevo Leon;MONTERREY 4;Senador;59943;41481;19482;2760;-;-;4670;-;-;-;-;-;197;7889;;;136422
2012;Nuevo Leon;GUADALUPE 2;Senador;50743;57897;20360;3674;-;-;7040;-;-;-;-;-;143;8552;;;148409
2012;Nuevo Leon;CADEREYTA JIMENEZ;Senador;78060;112722;39454;5589;-;-;11867;-;-;-;-;-;500;14169;;;262361
2012;Sonora;SAN LUIS RIO COLORADO;Senador;59598;47662;19780;2641;-;-;1964;-;-;-;-;-;40;8486;;;140171
2012;Sonora;NOGALES;Senador;50604;56369;22720;3168;-;-;2164;-;-;-;-;-;118;10333;;;145476
2012;Sonora;HERMOSILLO 1;Senador;54349;54559;18290;1552;-;-;2324;-;-;-;-;-;107;7173;;;138354
2012;Sonora;GUAYMAS;Senador;42766;49721;36433;2915;-;-;4236;-;-;-;-;-;166;10198;;;146435
2012;Sonora;HERMOSILLO 2;Senador;55334;53524;17843;1376;-;-;1550;-;-;-;-;-;126;6934;;;136687
2012;Sonora;CAJEME;Senador;39344;74066;37025;2200;-;-;2299;-;-;-;-;-;139;11494;;;166567
2012;Sonora;NAVOJOA;Senador;56163;51292;31324;1627;-;-;2177;-;-;-;-;-;33;10112;;;152728
2012;Chihuahua;JUAREZ 1;Senador;33309;55088;39109;11508;-;-;8300;-;-;-;-;-;289;15812;;;163415
2012;Chihuahua;JUAREZ 2;Senador;18462;30729;18575;5071;-;-;3757;-;-;-;-;-;248;9032;;;85874
2012;Chihuahua;JUAREZ 3;Senador;41684;34757;30940;7063;-;-;6501;-;-;-;-;-;187;9718;;;130850
2012;Chihuahua;JUAREZ 4;Senador;20880;29873;23310;5860;-;-;4894;-;-;-;-;-;272;9495;;;94584
2012;Chihuahua;DELICIAS;Senador;51706;69208;20548;5338;-;-;7912;-;-;-;-;-;487;12209;;;167408
2012;Chihuahua;CHIHUAHUA 1;Senador;64635;56724;20286;6789;-;-;7690;-;-;-;-;-;224;12483;;;168831
2012;Chihuahua;CUAUHTEMOC;Senador;30707;58373;26244;5825;-;-;5679;-;-;-;-;-;177;12866;;;139871
2012;Chihuahua;CHIHUAHUA 2;Senador;53133;57617;22385;9098;-;-;9560;-;-;-;-;-;484;14195;;;166472
2012;Chihuahua;HIDALGO DEL PARRAL;Senador;26031;55819;7032;2595;-;-;4456;-;-;-;-;-;475;10313;;;106721
2015;Nuevo Leon;SANTA CATARINA;Diputado;68394;26418;2123;6796;2326;26195;6451;3574;7041;2866;-;-;150;4494;;;156828
2015;Nuevo Leon;APODACA;Diputado;48571;52837;3159;10134;3584;23778;6754;4687;4769;4587;-;-;415;5148;;;168423
2015;Nuevo Leon;GRAL. ESCOBEDO;Diputado;56820;51585;3488;9592;4684;28412;6155;5463;5835;5980;-;-;176;4486;;;182676
2015;Nuevo Leon;SAN NICOLAS DE LOS GARZA;Diputado;72602;21489;1809;6536;2407;18430;4683;3954;3561;4668;-;-;58;3118;;;143315
2015;Nuevo Leon;MONTERREY 1;Diputado;20088;36901;1509;5036;10649;8822;3168;2244;2724;6889;-;-;79;3254;;;101363
2015;Nuevo Leon;MONTERREY 2;Diputado;51033;29090;2304;5578;5476;26970;5103;4205;4758;5430;-;-;104;4036;;;144087
2015;Nuevo Leon;MONTERREY 3;Diputado;34712;32877;2010;4980;4046;15493;3457;3507;3233;4141;-;-;48;3412;;;111916
2015;Nuevo Leon;GUADALUPE 1;Diputado;44034;38114;1766;6574;1805;13238;3976;3185;2158;2987;12766;-;160;3119;;;133882
2015;Nuevo Leon;LINARES;Diputado;56358;72176;1296;4193;5806;5165;15189;1956;3332;3505;-;-;119;6881;;;175976
2015;Nuevo Leon;MONTERREY 4;Diputado;48086;24935;1831;5598;3280;23226;4404;5079;3724;3744;-;-;76;3451;;;127434
2015;Nuevo Leon;GUADALUPE 2;Diputado;50490;37669;2074;6151;2336;17771;5829;4290;3811;4655;-;-;131;3611;;;138818
2015;Nuevo Leon;CADEREYTA JIMENEZ;Diputado;72569;85433;13123;21396;5504;16837;13106;5343;7827;22039;-;-;338;7180;;;270695
2015;Sonora;SAN LUIS RIO COLORADO;Diputado;46017;38673;3413;3076;1297;2740;2309;6028;784;2750;-;-;47;2787;;;109921
2015;Sonora;NOGALES;Diputado;39913;32606;2153;2847;2053;6305;3480;2657;499;1184;-;-;338;3160;;;97195
2015;Sonora;HERMOSILLO 1;Diputado;49735;44494;2796;4172;1420;4073;3515;5701;1537;2499;-;-;102;4937;;;124981
2015;Sonora;GUAYMAS;Diputado;46563;48780;7526;4662;2447;2488;5994;4504;507;1426;-;-;38;4905;;;129840
2015;Sonora;HERMOSILLO 2;Diputado;41605;43583;2242;3085;1387;2941;2420;3982;1107;1879;-;-;70;3785;;;108086
2015;Sonora;CAJEME;Diputado;29161;54123;2205;2749;1005;9379;4712;4955;1440;1742;-;-;60;3428;;;114959
2015;Sonora;NAVOJOA;Diputado;52836;58444;7656;2497;977;1276;3907;2900;335;849;-;-;66;3678;;;135421
2015;Chihuahua;JUAREZ 1;Diputado;12933;28679;3922;8460;1832;3418;7196;8426;2668;4388;-;-;526;5.928;;;88.376
2015;Chihuahua;JUAREZ 2;Diputado;6576;18200;3088;3201;882;1097;3435;3890;1032;2058;-;-;57;4.853;;;48.369
2015;Chihuahua;JUAREZ 3;Diputado;21383;15984;1541;5660;1293;2916;5188;7531;2041;3252;1707;-;215;4.830;;;73.541
2015;Chihuahua;JUAREZ 4;Diputado;9255;16838;1548;3999;2408;3256;4545;4449;1611;2151;-;-;56;3.855;;;53.971
2015;Chihuahua;DELICIAS;Diputado;37295;51074;3713;3252;2639;1633;9541;5419;1043;1952;-;-;104;5.146;;;122.811
2015;Chihuahua;CHIHUAHUA 1;Diputado;41932;29615;1718;4739;2288;6076;6437;6857;2797;4073;-;-;324;7.498;;;114.354
2015;Chihuahua;CUAUHTEMOC;Diputado;20582;35340;4367;5209;2399;1007;5147;3900;800;2631;-;-;667;4.702;;;86.751
2015;Chihuahua;CHIHUAHUA 2;Diputado;23700;27512;2451;6510;2744;4681;7885;6765;2690;4009;-;-;212;6.261;;;95.420
2015;Chihuahua;HIDALGO DEL PARRAL;Diputado;14168;31312;926;2008;962;817;6402;1463;549;924;-;-;36;3.772;;;63.339
2003;Nuevo Leon;SANTA CATARINA;Diputado;58708;70760;3036;-;4749;-;-;-;-;-;-;-;17;4065;;;
2003;Nuevo Leon;APODACA;Diputado;51081;103271;5365;-;8190;-;-;-;-;-;-;-;402;6886;;;
2003;Nuevo Leon;GRAL. ESCOBEDO;Diputado;49263;65076;2366;-;5830;-;-;-;-;-;-;-;37;3778;;;
2003;Nuevo Leon;SAN NICOLAS DE LOS GARZA;Diputado;62218;48225;2566;-;6167;-;-;-;-;-;-;-;27;3292;;;
2003;Nuevo Leon;MONTERREY 1;Diputado;19467;68362;1095;-;9119;-;-;-;-;-;-;-;341;5387;;;
2003;Nuevo Leon;MONTERREY 2;Diputado;46482;51740;2278;-;5689;-;-;-;-;-;-;-;16;2663;;;
2003;Nuevo Leon;MONTERREY 3;Diputado;33373;51584;2193;-;4374;-;-;-;-;-;-;-;100;4593;;;
2003;Nuevo Leon;GUADALUPE 1;Diputado;43282;53247;2589;-;6033;-;-;-;-;-;-;-;12;3472;;;
2003;Nuevo Leon;LINARES;Diputado;39805;70883;1614;-;14083;-;-;-;-;-;-;-;12;6979;;;
2003;Nuevo Leon;MONTERREY 4;Diputado;41153;43444;2490;-;5693;-;-;-;-;-;-;-;24;2735;;;
2003;Nuevo Leon;GUADALUPE 2;Diputado;43143;57376;3112;-;5879;-;-;-;-;-;-;-;70;3725;;;
2003;Nuevo Leon;CADEREYTA JIMENEZ;Diputado;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
2003;Sonora;SAN LUIS RIO COLORADO;Diputado;43506;44640;11654;-;1781;-;-;-;-;-;-;-;8;2593;;;
2003;Sonora;NOGALES;Diputado;41496;46961;4761;-;1463;-;-;-;-;-;-;-;31;3043;;;
2003;Sonora;HERMOSILLO 1;Diputado;59145;39282;3955;-;1792;-;-;-;-;-;-;-;363;2856;;;
2003;Sonora;GUAYMAS;Diputado;22024;38346;20696;-;2812;-;-;-;-;-;-;-;288;3900;;;
2003;Sonora;HERMOSILLO 2;Diputado;51341;34991;3401;-;2049;-;-;-;-;-;-;-;23;2186;;;
2003;Sonora;CAJEME;Diputado;44726;37862;13470;-;911;-;-;-;-;-;-;-;475;4231;;;
2003;Sonora;NAVOJOA;Diputado;25742;45169;25049;-;791;-;-;-;-;-;-;-;12;4662;;;
2003;Chihuahua;JUAREZ 1;Diputado;17526;26891;6162;-;2175;-;-;-;-;-;-;-;214;2454;;;
2003;Chihuahua;JUAREZ 2;Diputado;27892;33091;2582;-;849;-;-;-;-;-;-;-;31;3254;;;
2003;Chihuahua;JUAREZ 3;Diputado;38718;44600;3624;-;1801;-;-;-;-;-;-;-;42;3810;;;
2003;Chihuahua;JUAREZ 4;Diputado;31088;54099;3970;-;2821;-;-;-;-;-;-;-;60;5110;;;
2003;Chihuahua;DELICIAS;Diputado;34816;30199;5912;-;2713;-;-;-;-;-;-;-;29;3338;;;
2003;Chihuahua;CHIHUAHUA 1;Diputado;47651;46744;4900;-;2272;-;-;-;-;-;-;-;56;3338;;;
2003;Chihuahua;CUAUHTEMOC;Diputado;16319;23650;3385;-;928;-;-;-;-;-;-;-;11;1949;;;
2003;Chihuahua;CHIHUAHUA 2;Diputado;26941;35588;10718;-;1673;-;-;-;-;-;-;-;463;3219;;;
2003;Chihuahua;HIDALGO DEL PARRAL;Diputado;25149;29340;2094;-;1368;-;-;-;-;-;-;-;8;2251;;;
