Año,Entidad,Distrito,Puesto,PAN,PRI,PRD,VERDE,PT,MOV. CIU.,NUEVA ALIANZA,MORENA,HUMANISTA,ENC. SOC,INDEP.,ALTERNATIVA,No registrados,Votos nulos,,,Total Votos,,,,,,,,,
2015,Nuevo Leon,SANTA CATARINA,Diputado,68394,26418,2123,6796,2326,26195,6451,3574,7041,2866,0,0,150,4494,,,156828,,,,,,,,,
2015,Nuevo Leon,APODACA,Diputado,48571,52837,3159,10134,3584,23778,6754,4687,4769,4587,0,0,415,5148,,,168423,,,,,,,,,
2015,Nuevo Leon,GRAL. ESCOBEDO,Diputado,56820,51585,3488,9592,4684,28412,6155,5463,5835,5980,0,0,176,4486,,,182676,,,,,,,,,
2015,Nuevo Leon,SAN NICOLAS DE LOS GARZA,Diputado,72602,21489,1809,6536,2407,18430,4683,3954,3561,4668,0,0,58,3118,,,143315,,,,,,,,,
2015,Nuevo Leon,MONTERREY 1,Diputado,20088,36901,1509,5036,10649,8822,3168,2244,2724,6889,0,0,79,3254,,,101363,,,,,,,,,
2015,Nuevo Leon,MONTERREY 2,Diputado,51033,29090,2304,5578,5476,26970,5103,4205,4758,5430,0,0,104,4036,,,144087,,,,,,,,,
2015,Nuevo Leon,MONTERREY 3,Diputado,34712,32877,2010,4980,4046,15493,3457,3507,3233,4141,0,0,48,3412,,,111916,,,,,,,,,
2015,Nuevo Leon,GUADALUPE 1,Diputado,44034,38114,1766,6574,1805,13238,3976,3185,2158,2987,12766,0,160,3119,,,133882,,,,,,,,,
2015,Nuevo Leon,LINARES,Diputado,56358,72176,1296,4193,5806,5165,15189,1956,3332,3505,0,0,119,6881,,,175976,,,,,,,,,
2015,Nuevo Leon,MONTERREY 4,Diputado,48086,24935,1831,5598,3280,23226,4404,5079,3724,3744,0,0,76,3451,,,127434,,,,,,,,,
2015,Nuevo Leon,GUADALUPE 2,Diputado,50490,37669,2074,6151,2336,17771,5829,4290,3811,4655,0,0,131,3611,,,138818,,,,,,,,,
2015,Nuevo Leon,CADEREYTA JIMENEZ,Diputado,72569,85433,13123,21396,5504,16837,13106,5343,7827,22039,0,0,338,7180,,,270695,,,,,,,,,
2015,Sonora,SAN LUIS RIO COLORADO,Diputado,46017,38673,3413,3076,1297,2740,2309,6028,784,2750,0,0,47,2787,,,109921,,,,,,,,,
2015,Sonora,NOGALES,Diputado,39913,32606,2153,2847,2053,6305,3480,2657,499,1184,0,0,338,3160,,,97195,,,,,,,,,
2015,Sonora,HERMOSILLO 1,Diputado,49735,44494,2796,4172,1420,4073,3515,5701,1537,2499,0,0,102,4937,,,124981,,,,,,,,,
2015,Sonora,GUAYMAS,Diputado,46563,48780,7526,4662,2447,2488,5994,4504,507,1426,0,0,38,4905,,,129840,,,,,,,,,
2015,Sonora,HERMOSILLO 2,Diputado,41605,43583,2242,3085,1387,2941,2420,3982,1107,1879,0,0,70,3785,,,108086,,,,,,,,,
2015,Sonora,CAJEME,Diputado,29161,54123,2205,2749,1005,9379,4712,4955,1440,1742,0,0,60,3428,,,114959,,,,,,,,,
2015,Sonora,NAVOJOA,Diputado,52836,58444,7656,2497,977,1276,3907,2900,335,849,0,0,66,3678,,,135421,,,,,,,,,
2015,Chihuahua,JUAREZ 1,Diputado,12933,28679,3922,8460,1832,3418,7196,8426,2668,4388,0,0,526,5.928,,,88.376,,,,,,,,,
2015,Chihuahua,JUAREZ 2,Diputado,6576,18200,3088,3201,882,1097,3435,3890,1032,2058,0,0,57,4.853,,,48.369,,,,,,,,,
2015,Chihuahua,JUAREZ 3,Diputado,21383,15984,1541,5660,1293,2916,5188,7531,2041,3252,1707,0,215,4.830,,,73.541,,,,,,,,,
2015,Chihuahua,JUAREZ 4,Diputado,9255,16838,1548,3999,2408,3256,4545,4449,1611,2151,0,0,56,3.855,,,53.971,,,,,,,,,
2015,Chihuahua,DELICIAS,Diputado,37295,51074,3713,3252,2639,1633,9541,5419,1043,1952,0,0,104,5.146,,,122.811,,,,,,,,,
2015,Chihuahua,CHIHUAHUA 1,Diputado,41932,29615,1718,4739,2288,6076,6437,6857,2797,4073,0,0,324,7.498,,,114.354,,,,,,,,,
2015,Chihuahua,CUAUHTEMOC,Diputado,20582,35340,4367,5209,2399,1007,5147,3900,800,2631,0,0,667,4.702,,,86.751,,,,,,,,,
2015,Chihuahua,CHIHUAHUA 2,Diputado,23700,27512,2451,6510,2744,4681,7885,6765,2690,4009,0,0,212,6.261,,,95.420,,,,,,,,,
2015,Chihuahua,HIDALGO DEL PARRAL,Diputado,14168,31312,926,2008,962,817,6402,1463,549,924,0,0,36,3.772,,,63.339,,,,,,,,,
2003,Nuevo Leon,SANTA CATARINA,Diputado,58708,70760,3036,0,4749,0,0,0,0,0,0,0,17,4065,,,,,,,,,,,,
2003,Nuevo Leon,APODACA,Diputado,51081,103271,5365,0,8190,0,0,0,0,0,0,0,402,6886,,,,,,,,,,,,
2003,Nuevo Leon,GRAL. ESCOBEDO,Diputado,49263,65076,2366,0,5830,0,0,0,0,0,0,0,37,3778,,,,,,,,,,,,
2003,Nuevo Leon,SAN NICOLAS DE LOS GARZA,Diputado,62218,48225,2566,0,6167,0,0,0,0,0,0,0,27,3292,,,,,,,,,,,,
2003,Nuevo Leon,MONTERREY 1,Diputado,19467,68362,1095,0,9119,0,0,0,0,0,0,0,341,5387,,,,,,,,,,,,
